title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime
Karin Core Set,Autumn Sonata,deny,True,2024-09-26T21:32:57.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989683977,False,False,2,1
Ester Complete Set,Autumn Sonata,deny,True,2024-09-26T21:32:53.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989421833,False,False,2,1
Brushed Blue Ceramic Coffee Table,Project 213A,continue,True,2024-10-01T10:34:03.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '16'}, 'mindeliverytime': {'mindeltime': '12'}}",48485160091913,False,False,16,12
Ceramic Coffee Table in Cream,Project 213A,continue,True,2024-10-01T10:33:55.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '16'}, 'mindeliverytime': {'mindeltime': '12'}}",48485159764233,False,False,16,12
Zoomorphic Ceramic Lamp,Figuresdesign,deny,True,2024-10-02T13:55:33.000Z,{'custom': {'soldout': False}},48493542605065,False,False,-1,-1
"Iron Floor Lamp, 1960s.",Barracuda Interiors,deny,True,2024-10-09T12:54:55.000Z,{'custom': {'soldout': False}},48527944941833,False,False,-1,-1
"Forged iron bench, 1940s",Barracuda Interiors,deny,True,2024-10-09T10:41:15.000Z,{'custom': {'soldout': False}},48527412363529,False,False,-1,-1
Lulu Electric Blue Velvet Edition,Taith,deny,True,2024-06-12T11:02:35.000Z,{'custom': {'soldout': False}},45657929056521,False,False,-1,-1
"Max Bre Gilded Iron Brutalist Table Lamp, 1960s.",Barracuda Interiors,deny,True,2024-10-09T13:37:39.000Z,{'custom': {'soldout': False}},48528133587209,False,False,-1,-1
"Black Egg Ceramic Lamp, 1960s.",Barracuda Interiors,deny,True,2024-10-09T13:37:39.000Z,{'custom': {'soldout': False}},48528133554441,False,False,-1,-1
"Pair of Mural Candleholders, France, 1960s.",Barracuda Interiors,deny,True,2024-10-09T13:37:33.000Z,{'custom': {'soldout': False}},48528133062921,False,False,-1,-1
"""Statue antique, 1901"" Drawing",Barracuda Interiors,deny,True,2024-10-09T13:37:28.000Z,{'custom': {'soldout': False}},48528132768009,False,False,-1,-1
"Portuguese Side Table, 1960s",Barracuda Interiors,deny,True,2024-10-09T13:37:19.000Z,{'custom': {'soldout': False}},48528132243721,False,False,-1,-1
"Pair of Armchairs, 1960s",Barracuda Interiors,deny,True,2024-10-09T13:37:16.000Z,{'custom': {'soldout': False}},48528132145417,False,False,-1,-1
"Brown Rattan and Brass Mirror, 1970s",Barracuda Interiors,deny,True,2024-10-09T13:37:00.000Z,{'custom': {'soldout': False}},48528131522825,False,False,-1,-1
"Wooden Bobbin Table, 1960s",Barracuda Interiors,deny,True,2024-10-09T13:36:49.000Z,{'custom': {'soldout': False}},48528131326217,False,False,-1,-1
"Wooden Mural Sculpture, Preben P, 1980s",Barracuda Interiors,deny,True,2024-10-09T13:36:42.000Z,{'custom': {'soldout': False}},48528129818889,False,False,-1,-1
"""Vitruvio"" Walnut stool",Barracuda Interiors,deny,True,2024-10-09T13:36:34.000Z,{'custom': {'soldout': False}},48528129327369,False,False,-1,-1
"Tripod Iron Floor Lamp, 1960s",Barracuda Interiors,deny,True,2024-10-09T12:55:06.000Z,{'custom': {'soldout': False}},48527945957641,False,False,-1,-1
"Arts & Crafts Oak Lamp, 1920s",Barracuda Interiors,deny,True,2024-10-09T12:54:58.000Z,{'custom': {'soldout': False}},48527945302281,False,False,-1,-1
"Dark Wooden Floor Lamp, 1930s",Barracuda Interiors,deny,True,2024-10-09T12:54:54.000Z,{'custom': {'soldout': False}},48527944876297,False,False,-1,-1
"Turned Wood Table Lamp, 1960s",Barracuda Interiors,deny,True,2024-10-09T12:54:41.000Z,{'custom': {'soldout': False}},48527944450313,False,False,-1,-1
"Pair of Iron Table Lamps, 1960s",Barracuda Interiors,deny,True,2024-10-09T12:54:40.000Z,{'custom': {'soldout': False}},48527944417545,False,False,-1,-1
Black Glazed Ceramic Table Lamp,Barracuda Interiors,deny,True,2024-10-09T12:54:39.000Z,{'custom': {'soldout': False}},48527944384777,False,False,-1,-1
